jira,collection,timestamp,subCommodityCode,subCommodityName,variations,database_name,object_id,operation_type,changes_summary
SCSART-101561,specconfig_dqa_changestream,2024-12-12 00:07:07 UTC,,,N/A,PROD_SB,specconfig_dqa_6734ff4cf81c05e185a24fa2_1733962027,replace,spec: Modified composite
SCSART-101397,subcommodity_dqa_changestream,2024-12-12 00:12:29 UTC,63206,POTATOES SWEET ORGANIC,"{'variationAttributes': [{'variationType': 'Package Size', 'variationName': '3 lb Bag', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]}",PROD_SB,subcommodity_dqa_671a80248d26a628ef13f720_1733962349,update,tolerance: Modified usdaArrivalTolerance
SCSART-101397,subcommodity_dqa_changestream,2024-12-12 00:12:29 UTC,61802,POTATOES RED (BULK & BAG) ORGANIC,"{'variationAttributes': [{'variationType': 'Package Size', 'variationName': 'Other', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]}",PROD_SB,subcommodity_dqa_671a80248d26a628ef13f721_1733962349,update,tolerance: Modified usdaArrivalTolerance
SCSART-101397,subcommodity_dqa_changestream,2024-12-12 00:12:30 UTC,98154,POTATOES SWEET & YAMS,"{'variationAttributes': [{'variationType': 'Package Size', 'variationName': 'Other', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]}",PROD_SB,subcommodity_dqa_671a80248d26a628ef13f722_1733962350,update,tolerance: Modified usdaArrivalTolerance
SCSART-101397,subcommodity_dqa_changestream,2024-12-12 00:12:30 UTC,61802,POTATOES RED (BULK & BAG) ORGANIC,"{'variationAttributes': [{'variationType': 'Package Size', 'variationName': 'Size A', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]}",PROD_SB,subcommodity_dqa_671a80248d26a628ef13f723_1733962350,update,tolerance: Modified usdaArrivalTolerance
SCSART-101397,subcommodity_dqa_changestream,2024-12-12 00:12:30 UTC,63206,POTATOES SWEET ORGANIC,"{'variationAttributes': [{'variationType': 'Package Size', 'variationName': '1 Count', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]}",PROD_SB,subcommodity_dqa_671a80248d26a628ef13f724_1733962350,update,tolerance: Modified usdaArrivalTolerance
SCSART-101397,subcommodity_dqa_changestream,2024-12-12 00:12:30 UTC,98154,POTATOES SWEET & YAMS,"{'variationAttributes': [{'variationType': 'Package Size', 'variationName': '8 oz Microwaveable', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]}",PROD_SB,subcommodity_dqa_671a80248d26a628ef13f725_1733962350,update,tolerance: Modified usdaArrivalTolerance
SCSART-101397,subcommodity_dqa_changestream,2024-12-12 00:12:30 UTC,61801,POTATOES RUSSET (BULK & BAG) ORGANIC,"{'variationAttributes': [{'variationType': 'Package Size', 'variationName': '3 lb Bag', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]}",PROD_SB,subcommodity_dqa_671a80248d26a628ef13f726_1733962350,update,tolerance: Modified usdaArrivalTolerance
SCSART-101397,subcommodity_dqa_changestream,2024-12-12 00:12:30 UTC,61801,POTATOES RUSSET (BULK & BAG) ORGANIC,"{'variationAttributes': [{'variationType': 'Package Size', 'variationName': 'Other', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]}",PROD_SB,subcommodity_dqa_671a80248d26a628ef13f727_1733962350,update,tolerance: Modified usdaArrivalTolerance
SCSART-101397,subcommodity_dqa_changestream,2024-12-12 00:12:30 UTC,98151,POTATOES RUSSET (BULK & BAG),"{'variationAttributes': [{'variationType': 'Package Size', 'variationName': 'Bulk', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]}",PROD_SB,subcommodity_dqa_671a80248d26a628ef13f728_1733962350,update,tolerance: Modified usdaArrivalTolerance
