subCommodityCode,path,start_date_value,end_date_value
N/A,root[0]._id.$oid,671a800c8d26a628ef13f65e,6734ff4cf81c05e185a24fa2
N/A,root[0].specStructure.storage.position.storage.ethylene,exists,missing
N/A,root[0].specStructure.storage.position.storage.ethyleneProducing,missing,exists
N/A,root[0].specStructure.storage.position.storage.ethyleneSensitive,missing,exists
N/A,root[0].specStructure.storage.nextLevel,exists,missing
N/A,root[0].spec.composite.minimumPSI.dqaMapping,PSI,Penetrometer
N/A,root[0].spec.composite.maximumPSI.dqaMapping,PSI,Penetrometer
N/A,root[0].spec.composite.psiNotes.dqaMapping,PSI,Penetrometer
N/A,root[0].spec.storage.ethylene_producing,exists,missing
N/A,root[0].spec.storage.ethylene_sensitive,exists,missing
N/A,root[0].spec.storage.ethyleneProducing,missing,exists
N/A,root[0].spec.storage.ethyleneSensitive,missing,exists
