subCommodityCode,path,start_date_value,end_date_value
98046,root[0].lastUpdatedUser,exists,missing
98046,root[0].lastUpdatedUTCTimestamp,exists,missing
98046,root[0].disableDQA,None,False
98046,root[0].subCommodityIcon,Uncategorized,Kiwi
98046,root[0].spec.guidelines.productGuidelines.dqaHelperText,exists,missing
98046,root[0].spec.guidelines.productGuidelines.showDqaHelper,missing,exists
98046,root[0].spec.guidelines.requiredGrade.dqaHelperText,exists,missing
98046,root[0].spec.guidelines.requiredGrade.showDqaHelper,missing,exists
98046,root[0].spec.basicSpecifications.basicRequirements.dqaHelperText,exists,missing
98046,root[0].spec.basicSpecifications.basicRequirements.showDqaHelper,missing,exists
98046,root[0].spec.basicSpecifications.freeFrom.dqaHelperText,exists,missing
98046,root[0].spec.basicSpecifications.freeFrom.showDqaHelper,missing,exists
98046,root[0].spec.basicSpecifications.freeFromDamageOrSeriousDamage.dqaHelperText,exists,missing
98046,root[0].spec.basicSpecifications.freeFromDamageOrSeriousDamage.showDqaHelper,missing,exists
98046,root[0].spec.basicSpecifications.ripeness.dqaHelperText,exists,missing
98046,root[0].spec.basicSpecifications.ripeness.showDqaHelper,missing,exists
98046,root[0].spec.basicSpecifications.internalAnalysis.dqaHelperText,exists,missing
98046,root[0].spec.basicSpecifications.internalAnalysis.showDqaHelper,missing,exists
98046,root[0].spec.quality.size.dqaHelperText,exists,missing
98046,root[0].spec.quality.size.showDqaHelper,missing,exists
98046,root[0].spec.quality.count.dqaHelperText,exists,missing
98046,root[0].spec.quality.count.showDqaHelper,missing,exists
98046,root[0].spec.temperature.receivingTemperature.dqaHelperText,exists,missing
98046,root[0].spec.temperature.receivingTemperature.showDqaHelper,missing,exists
98046,root[0].spec.packaging.packagingGuidelines.dqaHelperText,exists,missing
98046,root[0].spec.packaging.packagingGuidelines.showDqaHelper,missing,exists
98046,root[0].spec.storage.dwelltime.dqaHelperText,exists,missing
98046,root[0].spec.storage.dwelltime.showDqaHelper,missing,exists
98046,root[0].spec.storage.ethylene,exists,missing
98046,root[0].spec.storage.preCoolMinimum.dqaHelperText,exists,missing
98046,root[0].spec.storage.preCoolMinimum.showDqaHelper,missing,exists
98046,root[0].spec.storage.preCoolMinimumAmbient.dqaHelperText,exists,missing
98046,root[0].spec.storage.preCoolMinimumAmbient.showDqaHelper,missing,exists
98046,root[0].spec.storage.preCoolMaximum.dqaHelperText,exists,missing
